716,70790,52450,15,73102,259,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52450,15,73102,259,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52450,15,73102,111,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52450,15,73102,111,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
718,70790,52450,15,73102,106,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (718,70790,52450,15,73102,106,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52450,71879,73102,7,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52450,71879,73102,7,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52450,71881,73102,200,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52450,71881,73102,200,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52450,71879,73102,63,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52450,71879,73102,63,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52450,71881,73102,619,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52450,71881,73102,619,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52466,54,73098,2009,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52466,54,73098,2009,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52466,70125,73098,23770,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52466,70125,73098,23770,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52466,54,73098,163,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52466,54,73098,163,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52466,70125,73098,1406,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52466,70125,73098,1406,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52466,15,73098,860,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52466,15,73098,860,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52466,15,73098,226,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52466,15,73098,226,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
718,70790,52466,15,73098,214,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (718,70790,52466,15,73098,214,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52466,71879,73098,198,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52466,71879,73098,198,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52466,71881,73098,1067,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52466,71881,73098,1067,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52466,71879,73098,477,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52466,71879,73098,477,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52466,71881,73098,4285,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52466,71881,73098,4285,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52467,54,73098,82,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52467,54,73098,82,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52467,70125,73098,1448,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52467,70125,73098,1448,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
